id,title,author,length,difficulty,rating,tags
48283,In the Field,AgentX,2,7,3.12,contest entry;historical;modern;war
66088,Family Impact on Relationship Conflict,fmst314group17,3,3,3.05,dating
14188,A Hero is Born..,hugo23,2,4,3.97,fantasy;serious
61827,Dreamtruder,Mystic_Warrior,7,4,6.43,action adventure;contest entry;fantasy
18493,Is it Shameful?,Netan,2,2,3.38,romance
6769,The Coast or the Chase,chris_zelda,3,5,3.55,based off a true story;humor;modern
11730,Buried,greevesi,3,5,5.9,horror;previously featured
50088,Choose Your Disease,dallashollis,3,2,3.34,based off a true story;drama;edutainment;fantasy;humor;post-apocalyptic;science fiction
21847,Love Triangle,Coolguy507,2,3,3.9,dating;romance
26777,The Fox and The Fawn,grace98,6,3,5.78,animal perspective;drama;fantasy;romance
63080,Happy(TM),Orange,2,2,5.0,dystopia;edgelord;post-apocalyptic;scifi;villain protagonist
226,Zombie Flesh Riot,Fishpaste,4,7,3.16,horror;serious;zombie
32056,The Troubles,lenincloset,1,8,3.44,edutainment;historical;serious;war
63542,The Jungle Book,ApprenticePortentous,5,5,4.96,contest entry;family-friendly;historical
15172,While My Guitar Violently Weeps,katyperryfan024,2,3,3.64,modern
38691,Under The Bridge,betaband,1,1,3.29,fantasy;humor
60258,The Story of Count Osmond Jorgensen,Fluxion,3,2,4.36,contest entry;fantasy;grimdark
51934,Magno,EbonVasilis,5,6,6.01,based off a true story;contest entry;historical
11246,Dead Man Walking (Zombie Survival),BerkaZerka,8,6,7.27,horror;post-apocalyptic;serious;zombie
15424,Back to the '90s,jogan,4,2,5.21,humor;modern;socially important
6792,Mouldy Oldiez,Miccy2000,3,5,3.73,humor;modern;zombie
54757,The Cliff,Orange,4,2,4.18,contest entry;dating
36321,A Tale of War: Thragnazil,TheBossWriter,3,6,4.33,drama;fantasy;serious;war
13454,The Secret of Daphne,simplesabley,6,7,6.93,horror;puzzle;serious
64095,Nameless,ninjapitka,6,5,6.51,action adventure;fantasy;war
1495,Kaiju Domination: Episode 1- Godzilla,Godzilla,2,3,3.88,humor
15702,Would You Survive Daniel Wilson's Robopocalypse?,insomniax808,3,3,3.63,dystopia;science fiction;serious
50667,That One Dream Again,LeoCaesar,6,5,4.47,fantasy;historical;humor;romance;science fiction;scifi;superhero
27880,Adventures of a Normal Man,GrottyStatute74,3,2,4.29,fantasy;humor
10872,Homo Perfectus 4,SindriV,6,4,6.97,scifi;serious;socially important
22936,The Promise,clauraseekingzer0,3,2,3.61,serious
42204,Fear the Psyker,Steve24833,7,3,6.75,grimdark;science fiction
61545,Eyes on a Moon of Blindness,Bill_Ingersoll,6,1,5.58,female protagonist;post-apocalyptic;science fiction;scifi;serious
56514,Hunters and the Hunted,ultraoverlord,5,4,5.5,contest entry;dystopia;fantasy;horror
19036,Murder!,KaliZeena,2,1,3.53,animal perspective;drama;fantasy
66188,A Metric Measurment of Death,DerPrussen,2,4,4.48,cyberpunk;scifi
25211,Escaping Dystopia,jackels,2,1,3.58,modern;serious;socially important
61587,The Essucian Dragon,Cupcakitty__13,4,3,4.23,animal perspective;contest entry;fantasy;female protagonist
7404,Captured!,tsmpaul,2,4,5.14,previously featured;science fiction;scifi;serious;war
34214,Before Midnight,AppDude27,4,7,6.23,dating;drama;humor;romance
49261,His Smile,AdrianneDeforest,2,3,3.12,dating;female protagonist;romance
65149,Dog Day,Chris113022,2,1,4.13,contest entry;dystopia;edgelord;fantasy;grimdark;villain protagonist
25885,Clear Sky,Negative,2,1,3.82,contest entry;post-apocalyptic;scifi
10160,Zombie Mayhem,irondale75,2,3,4.8,horror;war;zombie
22687,Can Anybody Escape?,TheHiddenSmile,2,3,3.61,historical
21570,Seasons Change,haleybughime,2,5,5.13,dating;drama;romance;serious;socially important
26383,Julia,BDPPWNAGE,3,5,3.41,humor;modern;romance
36329,Master Of Strings,Hanna_The_Panda,5,1,5.11,drama;family-friendly
51997,Wennipeg's list of regrets,ultraoverlord,3,3,4.11,fantasy;modern;serious
13349,Rising Flames,FeanorOnForge,6,6,5.83,fantasy
38507,Tower of Doom,Negative,2,4,4.06,contest entry;fantasy
38882,AI Nightmare,ai_master,3,7,4.64,cyberpunk;science fiction;scifi
40781,Vampirium: The Count,Negative,3,2,4.62,fantasy;serious
66476,Propheteering,WizzyCat,5,6,5.54,contest entry;fantasy;grimdark;socially important;villain protagonist
31975,Court Case,emgi,2,1,3.7,drama;edutainment;serious
53837,Ghosts,Digit,6,6,5.51,contest entry;modern;psychological;romance;serious
58487,YeeHaw,AlexSchedel,2,3,3.61,fantasy;western
64804,The Swan Lake,fluttershypegasus,3,3,4.05,fantasy;grimdark;romance;serious
48381,The Murderous Masseur,whatamigoodatlol,4,5,4.58,drama;horror;mystery;romance;serious;thriller
65742,Blackbirds,ninjapitka,7,7,7.13,action adventure;fantasy;humor;war
23895,Halfway Decent,HolyFrax,2,3,4.33,dating;romance
7794,Terra Proxima: The Lines are Drawn,Rommel,6,4,5.78,scifi;serious;war
62755,Elvis At The Beauty Contest,poison_mara,3,1,5.38,animal perspective;family-friendly;fantasy
43573,Blooded,Steve24833,6,5,5.73,contest entry;edgelord;fantasy;grimdark;horror;previously featured
14678,Your Birthday,Djrella659,2,1,4.14,dating;romance
51949,The Lost Emperor,Crescentstar,6,7,5.9,based off a true story;contest entry;edutainment;historical
30267,Climbing Beyond The Clouds,Will11,3,5,5.09,based off a true story;drama;edutainment;serious
28210,The Boy Who Died From Eating All His Vegetables,WhatTheFabala,2,2,4.21,family-friendly;humor
63463,When Johnny Comes Marching Home,Deer89,5,5,5.26,contest entry;historical;horror;war
61046,Machine Contact,FeelsGoodman,2,3,4.05,psychological;science fiction;scifi
13398,My Apocalypse: On The Road Again (First Entry),COFindus,2,2,4.64,based off a true story;horror;post-apocalyptic;war;zombie
66093,Gig: Blast Damage Days,Zardoz,2,3,3.48,action adventure;anti-hero;contest entry;cyberpunk;dystopia;edgelord;grimdark;science fiction;thriller;villain protagonist
29131,Seven Days,Penworth,4,4,4.44,mystery;post-apocalyptic;serious;thriller
33092,The Sable Sea,PillbugAttack,2,2,3.68,horror
30252,The Midnight Hours,Hess,2,6,3.86,drama;fantasy;horror;science fiction;serious
14800,The Lemonade Business,MegLuvMTrench,2,3,4.31,humor;modern
64785,Brimstone,enterpride,4,1,5.97,anti-hero;based off a true story;biblical;contest entry;drama;dystopia;edgelord;family-friendly;fantasy;grimdark;horror;serious;socially important;spiritual;supernatural
10183,The Search For The Craxil,jlwelch,6,6,5.59,fantasy
63592,The Warped Castle,poison_mara,6,4,4.73,contest entry;dystopia;female protagonist;lgbt;post-apocalyptic;scifi
53089,Wheeler & Brandt LLP,Fluxion,5,3,4.43,contest entry;dating;romance
65138,The Tale of The Foolish Princess,TharaApples,6,4,6.68,contest entry;fantasy;female protagonist;grimdark;humor;previously featured;war
15986,Three Keys,Vics321,2,2,5.47,fantasy;serious
52887,Azula and Zuko,WouldntItBeNice,5,3,5.64,contest entry;fantasy;female protagonist;grimdark;previously featured;villain protagonist
14312,You are a Fish,NinjaTetra,1,3,3.15,animal perspective;family-friendly
11777,Island Attack: Escape,betaband,2,6,3.46,scifi;serious;war
62228,Venetian's tears,poison_mara,2,4,4.26,dating;romance;science fiction
8079,Find a Date Before it's too Late,realprety,2,2,3.22,dating;romance
161,A Jung Hero's Adventure,chocobot,4,4,5.0,dystopia;edutainment;previously featured;science fiction;serious;socially important
58046,Sir Osis,Cricket,4,2,6.1,contest entry;fantasy;humor
7162,Who STILL wants to be a Supervillian?,Miccy2000,3,4,5.57,humor;scifi
21156,The Paper,Danielle958,2,2,3.39,science fiction;scifi
39502,Tikal Warrior,waldockmd,1,2,3.07,edutainment;historical;war
43161,Through The Dragon Lair,haugelan,3,4,3.49,fantasy;scifi
63132,I Don't Need Air to Breathe,TheCanary,4,4,4.69,action adventure;anti-hero;contest entry;drama;female protagonist;horror;romance;science fiction;scifi;villain protagonist
64921,The Book and Devil's Altar,ninjapitka,6,6,7.28,action adventure;anti-hero;contest entry;edgelord;fantasy;grimdark
8055,Desperate Heart,Corinthian,2,1,5.13,dating;previously featured;romance;serious
5388,Tastes Like Chicken,somerandomperson,2,3,4.66,fantasy;humor
49542,How well do you know your British-English?,UnStriped_Tiger,1,4,3.33,edutainment;quiz;serious
11525,Broken Wings,HowOriginal,2,2,3.55,animal perspective;drama;family-friendly;serious
14126,The Forest Manager,GrahamSakaki,2,3,3.27,edutainment;socially important
33496,Mercenary Queen (Part 3): The Hemlock Band (Act B),Drydenhouse,4,5,3.74,fantasy;female protagonist;war
17576,Bob and His Adventure,ohlookitstrang,2,3,3.33,fantasy;humor
10898,Manske's Island,sethjaworski,2,6,3.53,science fiction;scifi;serious
8129,Hell Girl: The Shattered Mirror,Corinthian,2,1,5.58,previously featured;serious
45225,Among the Trees,Steve24833,4,3,5.55,biblical;dating;horror;romance;serious
33980,A UFO at School,Ogre11,2,1,4.25,drama;science fiction;scifi
21287,Studio 5,AppDude27,3,6,5.32,mystery;puzzle;quiz;serious;thriller
64492,The Labyrinth of Mizero,sarahcho711,4,5,3.54,fantasy
64822,"The Dark, Smelly, Fatal Prison",MrDaoYi,2,3,3.53,fantasy;supernatural
13907,Little Red Riding Hood,kallykat,2,3,4.09,edutainment;fantasy;humor
8716,Apocalypse Then,Juranas,2,3,4.63,horror;humor;post-apocalyptic;zombie
38774,Magellan 2: Fight for Beliefs,Will11,5,4,6.25,fantasy
8098,A Very Special Choose Your Story,EndMaster,5,8,5.26,edgelord;edutainment;humor;serious;socially important
31649,Revenge of the Sphinx,viking8779,2,3,3.46,humor;mystery;thriller
14004,First Dates Can Be Tricky,CowBelle,2,3,3.77,dating;romance
7352,Ducky Park,donteatpoop,5,4,5.41,humor;modern;previously featured
34973,Flight of the boobook owl,hegs012030,2,1,3.09,animal perspective;edutainment
39350,Why I left you,Jimg,2,1,3.0,based off a true story;dating;drama;lgbt;romance;serious
51954,Just A Doll,CrashAndDive,3,2,4.65,contest entry;dating;fantasy;horror;lgbt
32744,Hansel and Gretel's Great Escape,graetvikin,2,3,3.32,fantasy
25611,The Finisher,CobaltBlaze,2,2,4.09,fantasy
57312,"A Story of Love, Death, and Eggs",SiriusYoshi,2,2,3.38,humor;modern
12973,Project Origin: The Unraveling (part 1),simplesabley,3,2,5.74,serious
31233,Live the Life of a Cat,kawaii_kitty,2,2,3.58,animal perspective;modern
54632,You Are A Disc In My Dad's Spinal Cord. Can You Make His Back Stop Hurting In Time For Christmas?,tylerrusso,2,4,4.35,humor;modern
59776,"My Refuge, My Home",Nicolerhi,2,1,4.01,modern
30375,Backwoods,Hess,2,5,3.68,drama;fantasy;horror;serious
46088,1984: Cog In The Machine,Hector971,3,1,3.23,dystopia
27746,The Life Story #1: Preschool,Hgundy101,2,2,3.1,female protagonist;modern
14899,The Insanity Complex,MannequinLandx,3,5,5.5,modern;socially important
18004,Haggis Dinner,AdamMacKay,2,2,3.48,based off a true story;edutainment;historical;serious;war
57269,Inheritance House,Shadowdrake27,3,6,3.98,horror
15254,Grief,Connection_ICA,1,1,3.38,dating;serious
51959,The Ghost People,Fluxion,4,5,5.4,contest entry;historical;romance;science fiction;scifi
5445,Who wants to be a Supervillain?,Miccy2000,2,4,5.48,humor;puzzle;scifi
2449,Welcome to Pablo's!,delebb,3,2,4.55,humor;modern;serious
48788,Surviving Pre-School,Ogre11,3,2,5.2,family-friendly;humor
62157,Finding A Suitor,historicfictionlover,3,2,3.61,dating;historical;romance
61544,Planet Mopper,poison_mara,6,3,5.68,contest entry;dystopia;humor;science fiction;scifi
1118,Braak the Briton (Redux Edition),redstorm,4,5,5.43,fantasy;historical;humor;previously featured
9839,Mind Games,bradhal,4,6,3.91,humor;puzzle;scifi;serious;socially important;war
38770,The Chinatown Murderer,RickBurker,2,2,3.32,modern;serious;socially important
20106,Falling Asleep,Heyohsnowww,2,1,4.2,mystery;thriller
25548,Arakhan's Vengeance,elfred,6,3,6.23,fantasy
1728,September the 14th Part I,Deven711,3,7,3.13,humor;modern;previously featured
13208,My Sweet Anna,ZombieAuthor,2,3,3.66,dating;drama;romance
60431,Father Leofwine is Dead,pugpup1,6,7,6.65,contest entry;historical;mystery;thriller
35934,Sleepless Passion,Future,5,5,4.48,drama;modern;romance;serious;socially important
58763,The Hanging of Jordan Nickler,Jacoder23,3,6,4.18,contest entry;mystery;thriller;western
8041,Death Song,EndMaster,6,8,7.17,fantasy;grimdark;serious;war
52499,Broken Chains: Blood on the Marble,Malkalack,4,5,5.93,contest entry;dystopia;fantasy;grimdark;serious
59295,Dusty Fist 2: Electric Boogaloo,Chris113022,2,4,5.62,contest entry;humor;post-apocalyptic;scifi;western
64885,Deep Inside the Forest,MrDaoYi,2,3,3.64,horror;supernatural;thriller;zombie
23173,Marvel Adventure,Briar_Rose,2,3,3.65,
47268,Miracle and the Christmas Kitten,CastIron,3,2,4.47,animal perspective;modern
10892,all because of a breakfast sandwich,cumminse,2,1,3.21,fantasy;humor;science fiction;scifi
47074,Extinct,Saika,3,2,3.87,fantasy;post-apocalyptic
61623,Pitka's Fables,ninjapitka,3,3,5.04,contest entry;modern
334,Riddle of the Sasquatch,chocobot,2,3,4.3,mystery;serious;thriller
39055,Magellan 3: Journey to New Horizons,Will11,5,4,5.92,fantasy
8038,Imagination,EndMaster,5,3,6.04,family-friendly;fantasy;serious
15863,Underground to Canada,Omni123,2,3,4.11,based off a true story;edutainment;historical
4720,The Proposal,alexp,3,3,6.35,based off a true story;dating;female protagonist
60816,Sabbatical Report Presentation,Gower,6,1,6.74,modern
31573,Survive the Sphinx,viking8779,1,3,3.45,humor;mystery;thriller
56515,In the Pale Moonlight,Steve24833,6,5,6.7,contest entry;edgelord;fantasy;horror
57182,Dark Deception,lkfriebe,2,3,3.16,mystery;thriller
11413,The Ocean's Daughter,fergie14233,3,4,5.98,dating;romance;serious
11750,Island Attack: Raid,betaband,2,4,3.35,scifi;war
8936,"The Drugs Wouldn't Stop The Nightmares, Chapter One.",Fniff,2,4,3.36,horror;serious
16922,CYOA Final History Project,IsabellaMarini,2,1,3.14,edutainment;historical
27023,Hunted down,Shadowgirl21,2,4,3.44,horror;serious
12370,Hive Mind,Dreamweaver,2,5,3.61,science fiction;scifi;serious;war
51334,"Silver Horn, Silver Hooves",mizal,6,5,6.56,animal perspective;family-friendly;fantasy;female protagonist;socially important
42701,Hollow Hearth,Airion,2,1,3.5,fantasy;horror;humor;romance
63197,Nami & Lili's Firefly Adventure,MrDaoYi,2,2,3.68,family-friendly;fantasy
15040,The Delaying Action,Xt1000305,2,3,3.75,historical;war
53186,Dark Nights,Chris113022,4,3,5.7,contest entry;drama;humor;previously featured;romance;superhero
48438,Zurigul the Incompetent,AJB29,2,1,4.08,fantasy;humor
23014,Algebra Game,skillfulljack,1,2,3.11,edutainment;puzzle;quiz
27234,The Donner Party,Will11,5,6,5.23,based off a true story;edutainment;historical;serious;western
8035,Repression,EndMaster,4,7,5.81,horror;modern;serious
61139,The Chronomantic Adventures of Professor Gower: Office Hours,Shadowdrake27,5,4,5.61,action adventure;based off a true story;edutainment;historical;science fiction
16315,"Randomly Walk II, The epic sequel.",ISentinelPenguinI,2,2,4.47,based off a true story;humor
54011,The Last Chieftain,corgi213,6,4,6.13,anti-hero;contest entry;fantasy
14260,The Grinch Who Stole Christmas,marcalmichael,1,2,3.79,edutainment
65964,Capture the Flag,Gryphon,6,2,4.65,contest entry;family-friendly
29206,Different Universe,hayesa,5,3,4.07,fantasy;romance;serious;war;zombie
54639,Rogues,EndMaster,8,8,7.38,anti-hero;fantasy;humor;serious
19780,ENG4U1 Seminar Game,pseudomania,2,4,4.5,fantasy
22734,Popping My Cherry,Wheatbix,2,3,3.61,dating;humor;romance;socially important
44170,Halloween Fright,benholman44,2,4,3.82,horror
7680,TV Show: Madness of Seal,royshen34,2,1,4.13,family-friendly;humor
11178,Lilly and the Peddler,casmith,2,3,5.09,fantasy
66108,KRYSIS,Cromwell,7,5,4.4,contest entry;cyberpunk;dystopia;scifi;serious;socially important
39595,Magellan 4: Search for Original Ideas,Will11,6,4,5.91,fantasy
5719,Rebel Jedi 2:  The Rebel Base,Rodney,2,6,3.56,serious
10524,Everlasting Darkness,Jplague,4,5,4.71,modern
12268,Welcome to Hollywood,AAWEproject,3,4,4.06,modern;socially important
46643,Zeta 311,jackp32,2,5,3.2,horror;science fiction;serious
59531,The Surprise!,oraclemache,3,4,3.47,horror;psychological
14568,Complete Catastrophe - A Game of Clue,MegLuvMTrench,1,5,3.63,mystery;puzzle;thriller
21464,A Pug's Purpose,Hgundy101,2,6,3.54,animal perspective;family-friendly
63662,Quicksand,poison_mara,4,4,4.43,contest entry;grimdark;scifi;villain protagonist
11771,Dave: Big Dickin'it adventure!,kenamoto,2,3,3.21,humor;modern
10939,Doctor Who Fanfiction,bakerskater03,2,3,3.59,science fiction
16215,Horror House,direTrex20,2,3,3.94,horror
40489,Footink: Fantasy Cave City,arellaleaf,3,7,4.67,fantasy
9902,Reanimation 2,SindriV,3,5,4.78,horror;zombie
38525,The Curse of Norgurune,TheBossWriter,3,5,4.11,contest entry;fantasy;puzzle;serious
45629,Now You Gotta Deal With This S***,mizal,2,5,5.58,contest entry;horror;humor
29025,"Hey Look, It's a Zombie Apocalypse",TheLoneCamper,3,3,4.09,horror;post-apocalyptic;zombie
41064,What Triumph Looks Like,Bismarck33,2,3,3.64,dystopia;historical;serious;socially important;war
34604,Kill that Spider!,AppDude27,2,6,5.23,horror;humor;puzzle
63471,The Cottage and the '73 Rallye,Unforgiven,5,5,5.47,contest entry;horror
2276,Vengeance,Badger,3,6,5.64,modern;previously featured;serious
9807,Evolve (1.2),alienalpha,5,6,5.15,puzzle;scifi
50206,Grounded!,Sarah_huis,2,2,3.62,humor;modern
56763,Aphrodite's Orphan,ThomasLaHomme,7,5,6.25,fantasy;female protagonist;lgbt;science fiction;scifi
58317,Actual Cannibal The Beouf,Deejster,2,3,4.01,horror;humor
66888,Supernatural Horror,bjornling,3,3,3.72,horror;supernatural
13747,Without You (1),ZombieAuthor,2,2,4.07,dating;romance;serious;socially important
65131,Messiah for hire,poison_mara,5,4,5.16,contest entry;dystopia;humor;scifi
392,The Left-Handed Man,Xargon,2,4,4.51,edutainment;serious;socially important
9170,A Yearly Exam of Seasonfield High University,xDante,6,8,4.19,humor;modern;war
6434,Final Destination: Cheating Death,DarthVader_13,2,2,4.09,serious
38891,The Only Lights in the Darkness are Flames,Steve24833,3,4,5.53,horror;serious
38542,Alien Abduction,Ogre11,3,2,4.7,contest entry;mystery;science fiction;thriller
12487,A Blaze of Glory: Chapter One,Marmotlord,3,4,4.52,fantasy;war;zombie
3514,Is Dave Chappelle crazy?,redstorm,2,4,3.76,humor;previously featured
53868,Vindicta,ericyopy,4,2,4.9,contest entry;historical
9789,Rise of a Hero,Romulus,3,3,4.82,fantasy
47242,Facts About the Planet and the Solar System,mizal,3,1,5.28,based off a true story;contest entry;edutainment;socially important
64437,A Super Tale,325boy,7,5,4.66,humor;modern;superhero
40113,The Journey of Caroline Winters,MFloria,4,1,3.54,based off a true story;dating;drama;romance
57090,Silent Night,Chris113022,2,3,4.88,contest entry;superhero
14136,Vault Life,GodSlayingMachine,2,2,4.24,post-apocalyptic;science fiction;war
60137,Twin Arrows,ninjapitka,5,6,6.2,contest entry;historical;western
43577,An Honourable Gentleman?,amyrose2016,2,4,3.4,dating;historical;romance
31013,Suzy's Strange Saga,EndMaster,8,8,7.18,drama;female protagonist;horror;humor;modern;post-apocalyptic;romance;science fiction;serious
4166,The Robots United,GodsSlayer,2,4,3.34,fantasy;scifi;serious
31716,IB English Project,englishprojectten,3,3,3.68,edutainment
53953,Zombies Ate My Face!,TheWarriorBanana,3,6,3.47,horror;zombie
10441,TBLHQ: Round 2,Romulus,2,2,4.29,edutainment;historical;quiz
50379,4-Simplex,WouldntItBeNice,5,4,4.34,contest entry;fantasy;historical;horror;science fiction;western
1016,WORST DAY OF YOUR LIFE!!!,Maze_Man,2,6,3.76,humor;modern
66576,Gunslinger,ninjapitka,5,5,6.95,action adventure;anti-hero;contest entry;fantasy;grimdark;western
19346,Kingdom Conquest,Wf2dom,2,3,4.36,family-friendly;war
34193,The Shortcut Home,AppDude27,4,7,6.08,drama;horror;war
7786,Clover Seven: Ace Attorney - Episode 2: The Party Killer Turnabout,SilverMan,4,7,5.3,humor;puzzle
60877,A Fowl Problem,Ourobolus,3,3,4.09,family-friendly;humor
66709,The Razing of Nipthm,Nightwatch,4,4,5.04,contest entry;humor;science fiction;scifi
25584,Blue Light Saga,CobaltBlaze,2,4,4.24,fantasy
47568,The Journey of Seamus Dregg,Vortigaunt95,2,2,3.76,fantasy
6408,Cantina Band: The Assassins' New Tune,jorose,2,5,4.31,previously featured;serious
53091,TechNOIR,Chris113022,2,3,5.13,anti-hero;cyberpunk;dystopia;science fiction;scifi;thriller
54019,Friday the 13th,Unkindcrab,2,5,3.14,horror
27387,Immsmore Gallery,Immsmore,2,1,3.75,mystery;thriller
10963,Homo Perfectus 5,SindriV,7,4,6.37,scifi;socially important
61316,Land of the Setting Sun,TheChef,5,6,5.63,action adventure;contest entry;horror;post-apocalyptic
51926,Saoirse,Steve24833,7,3,6.71,contest entry;drama;edutainment;historical
56753,The Pie,corgi213,4,3,4.42,based off a true story;biblical;contest entry;horror;modern;previously featured;socially important
63236,Blow Your House Down,Bill_Ingersoll,7,3,6.56,contest entry;modern;thriller
26563,Martha Answers The Phone,MrMarbles,2,2,3.41,modern
41018,"Historical Misadventures, Served Two Ways",mmcmillan,3,3,3.55,edutainment;historical;socially important
12030,Orion,pauldeg927,5,6,5.32,horror;humor;socially important;war;zombie
11147,Insane Asylum Part 2,soccermoose123,2,7,3.1,horror;serious;zombie
26293,In School Suspension,redstrain,2,2,3.99,humor;modern
1153,HIGHWAYS to HELL,Smallfry,5,5,5.14,previously featured;serious
14976,Fruits of Survival (Home Economics Game),MsAMH,2,1,3.79,edutainment;historical;quiz;war
3017,Internets: The Dark Abyss,hardforhardpower,3,4,4.11,humor;modern
64487,Sterling Suburbs,ninjapitka,3,5,4.99,anti-hero;modern;thriller
63226,Sterling City,ninjapitka,5,5,6.23,action adventure;anti-hero;contest entry;modern
18704,Hungry,Razer105,2,2,3.85,humor;modern
61583,Merlin: Origins,Shadowdrake27,5,5,5.81,contest entry;fantasy;historical;humor;puzzle
60010,Hank's Journey,Ogre11,6,2,6.24,contest entry;drama;horror;psychological
17384,The Flame,urnam0,2,3,4.88,edutainment;serious
8591,Where in the World Is Carmen Sandiego?,urnam0,4,5,5.99,humor;puzzle;quiz
6613,Christmas.,Sir_Lancegalawain,2,1,3.86,edutainment;quiz;serious
16107,Extra Life,Kamayla,3,4,4.77,fantasy;puzzle
11322,The Story of the Bible,rframpton,2,6,3.94,biblical
18645,Sora (Chapter 1),esmeefallen,3,4,3.42,fantasy;romance
63701,The Screaming Skull,Will11,4,4,5.95,mystery;thriller
7567,Geek,EndMaster,5,5,6.04,horror;humor;previously featured
10512,Conquest: Chapter I,giamonic,2,4,3.63,fantasy;serious;war
54001,Z is for Zombies,grace98,5,4,5.35,horror;post-apocalyptic;zombie
64248,Hunting the Alphabet Killer,Will11,5,4,6.46,based off a true story;mystery;socially important;thriller
53928,Neon Genesis Evangelion,WouldntItBeNice,6,6,4.06,drama;fantasy;science fiction;serious;war
29596,The Corn Maze,Sabrinaboyle,3,3,4.23,horror;humor
57736,The Price of Freedom: Innocence Lost,Avery_Moore,7,6,7.4,historical;serious
40697,Weird Outcome,Raven47,6,4,5.15,dystopia;humor;modern;war
25866,Candy Quest,cMitchell3,1,4,3.33,fantasy;humor;modern
13019,Vocab #1,Mrmcclanahan,1,2,3.62,edutainment;quiz
34849,Escape From Saigon,mattisatschool,3,2,3.75,based off a true story;drama;historical;serious;socially important
66622,WARCHIMP,hetero_malk,2,5,6.39,action adventure;animal perspective;contest entry;post-apocalyptic;science fiction;scifi
36247,The Leacher: Complete Edition,Ronhil12,5,1,3.49,fantasy
996,Holloween Adventure 2 : Return to the Halloween Dimension!,AKJ16,1,4,3.41,horror;puzzle
59115,The Second Battle of Bull Run,Lurkinator,2,4,3.57,based off a true story;edutainment
65273,Vincha,Celicni,5,5,5.69,contest entry;edgelord;fantasy;grimdark;historical;villain protagonist;war
